,Date-Time,sp,y,u
0,15:49:49,5.5,7.52,-100.0
1,15:49:54,5.5,7.536,-100.0
2,15:49:59,5.5,7.512,-100.0
3,15:50:04,5.5,7.487,-100.0
4,15:50:09,5.5,7.456,-100.0
5,15:50:14,5.5,7.427,-100.0
6,15:50:19,5.5,7.39,-100.0
7,15:50:24,5.5,7.343,-100.0
8,15:50:29,5.5,7.31,-100.0
9,15:50:34,5.5,7.3,-100.0
10,15:50:39,5.5,7.268,-100.0
11,15:50:44,5.5,7.225,-100.0
12,15:50:49,5.5,7.188,-100.0
13,15:50:54,5.5,7.177,-100.0
14,15:50:59,5.5,7.164,-100.0
15,15:51:04,5.5,7.146,-100.0
16,15:51:09,5.5,7.124,-100.0
17,15:51:14,5.5,7.095,-100.0
18,15:51:19,5.5,7.074,-100.0
19,15:51:24,5.5,7.082,-100.0
20,15:51:29,5.5,7.076,-100.0
21,15:51:34,5.5,7.058,-100.0
22,15:51:39,5.5,7.051,-100.0
23,15:51:44,5.5,7.041,-100.0
24,15:51:49,5.5,7.036,-100.0
25,15:51:54,5.5,7.039,-100.0
26,15:51:59,5.5,7.014,-100.0
27,15:52:04,5.5,7.016,-100.0
28,15:52:09,5.5,6.999,-100.0
29,15:52:14,5.5,6.991,-100.0
30,15:52:19,5.5,6.994,-100.0
31,15:52:24,5.5,6.981,-100.0
32,15:52:30,5.5,6.974,-100.0
33,15:52:35,5.5,6.965,-100.0
34,15:52:40,5.5,6.964,-100.0
35,15:52:45,5.5,6.976,-100.0
36,15:52:50,5.5,6.95,-100.0
37,15:52:55,5.5,6.948,-100.0
38,15:53:00,5.5,6.94,-100.0
39,15:53:05,5.5,6.946,-100.0
40,15:53:10,5.5,6.935,-100.0
41,15:53:15,5.5,6.92,-100.0
42,15:53:20,5.5,6.914,-100.0
43,15:53:25,5.5,6.922,-100.0
44,15:53:30,5.5,6.914,-100.0
45,15:53:35,5.5,6.908,-100.0
46,15:53:40,5.5,6.906,-100.0
47,15:53:45,5.5,6.895,-100.0
48,15:53:50,5.5,6.876,-100.0
49,15:53:55,5.5,6.874,-100.0
50,15:54:00,5.5,6.866,-100.0
51,15:54:05,5.5,6.871,-100.0
52,15:54:10,5.5,6.854,-100.0
53,15:54:15,5.5,6.854,-100.0
54,15:54:20,5.5,6.834,-100.0
55,15:54:25,5.5,6.82,-100.0
56,15:54:30,5.5,6.82,-100.0
57,15:54:35,5.5,6.836,-100.0
58,15:54:40,5.5,6.817,-100.0
59,15:54:45,5.5,6.805,-100.0
60,15:54:50,5.5,6.806,-100.0
61,15:54:55,5.5,6.79,-100.0
62,15:55:00,5.5,6.779,-100.0
63,15:55:05,5.5,6.777,-100.0
64,15:55:10,5.5,6.77,-100.0
65,15:55:15,5.5,6.774,-100.0
66,15:55:20,5.5,6.752,-100.0
67,15:55:25,5.5,6.747,-100.0
68,15:55:30,5.5,6.739,-100.0
69,15:55:35,5.5,6.737,-100.0
70,15:55:41,5.5,6.72,-100.0
71,15:55:46,5.5,6.709,-100.0
72,15:55:51,5.5,6.697,-100.0
73,15:55:56,5.5,6.672,-100.0
74,15:56:01,5.5,6.669,-100.0
75,15:56:06,5.5,6.666,-100.0
76,15:56:11,5.5,6.656,-100.0
77,15:56:16,5.5,6.624,-100.0
78,15:56:21,5.5,6.627,-100.0
79,15:56:26,5.5,6.615,-100.0
80,15:56:31,5.5,6.597,-100.0
81,15:56:36,5.5,6.577,-100.0
82,15:56:41,5.5,6.567,-100.0
83,15:56:46,5.5,6.552,-100.0
84,15:56:51,5.5,6.536,-100.0
85,15:56:56,5.5,6.519,-100.0
86,15:57:01,5.5,6.512,-100.0
87,15:57:06,5.5,6.502,-100.0
88,15:57:11,5.5,6.491,-100.0
89,15:57:16,5.5,6.457,-100.0
90,15:57:21,5.5,6.445,-100.0
91,15:57:26,5.5,6.43,-100.0
92,15:57:31,5.5,6.4,-100.0
93,15:57:36,5.5,6.417,-100.0
94,15:57:41,5.5,6.369,-100.0
95,15:57:46,5.5,6.352,-100.0
96,15:57:51,5.5,6.338,-100.0
97,15:57:56,5.5,6.281,-99.91299999999998
98,15:58:01,5.5,6.249,-100.0
99,15:58:06,5.5,6.233,-100.0
100,15:58:11,5.5,6.192,-99.52599999999998
101,15:58:16,5.5,6.144,-98.87200000000004
102,15:58:21,5.5,6.129,-100.0
103,15:58:26,5.5,6.06,-97.54
104,15:58:31,5.5,6.004,-95.882
105,15:58:36,5.5,6.005,-99.03300000000004
106,15:58:42,5.5,6.0,-100.0
107,15:58:47,5.5,5.95,-98.52800000000002
108,15:58:52,5.5,5.876,-94.57200000000003
109,15:58:57,5.5,5.88,-97.213
110,15:59:02,5.5,5.866,-98.225
111,15:59:07,5.5,5.848,-98.846
112,15:59:12,5.5,5.81,-97.52399999999999
113,15:59:17,5.5,5.745,-93.61300000000001
114,15:59:22,5.5,5.731,-93.78499999999998
115,15:59:27,5.5,5.715,-93.75099999999998
116,15:59:32,5.5,5.689,-92.68699999999998
117,15:59:37,5.5,5.664,-91.55499999999995
118,15:59:42,5.5,5.635,-89.93899999999996
119,15:59:47,5.5,5.553,0.0
120,15:59:52,5.5,5.547,0.0
121,15:59:57,5.5,5.52,0.0
122,16:00:02,5.5,5.502,0.0
123,16:00:07,5.5,5.509,0.0
124,16:00:12,5.5,5.499,0.0
